host_guid,host_taxon,host_collection,host_group,parasite_record_count,parasite_taxon_count,latitude,longitude,mappable,min_year,max_year,host_url
MSB:Mamm:350430,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.743157,-105.452725,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350430
MSB:Mamm:350431,Microtus longicaudus,MSB:Mamm,Mammal,2,2,36.74290999,-105.453599,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350431
MSB:Mamm:350432,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74298702,-105.452767,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350432
MSB:Mamm:350433,Myodes gapperi,MSB:Mamm,Mammal,2,2,36.74291401,-105.45301,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350433
MSB:Mamm:350434,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74477496,-105.450353,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350434
MSB:Mamm:350435,Microtus longicaudus,MSB:Mamm,Mammal,2,1,36.74278401,-105.453414,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350435
MSB:Mamm:350436,Callospermophilus lateralis,MSB:Mamm,Mammal,3,2,36.74392898,-105.45187300000002,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350436
MSB:Host:7040,Alopex,MSB:Host,Host collection,4,4,63.77972,-171.74111,True,1955.0,1955.0,https://arctos.database.museum/guid/MSB:Host:7040
MSB:Mamm:350438,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74293396,-105.453527,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350438
MSB:Mamm:350444,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74142304,-105.455007,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350444
MSB:Mamm:350445,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.739576,-105.456642,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350445
MSB:Mamm:350446,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74324803,-105.452333,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350446
MSB:Mamm:350447,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74306204,-105.452781,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350447
MSB:Mamm:350448,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74416199,-105.451541,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350448
MSB:Mamm:350449,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74501703,-105.449938,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350449
MSB:Mamm:350450,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.74278703,-105.453249,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350450
MSB:Host:765,,MSB:Host,Host collection,3,3,63.77960099999999,-171.740277,True,,,https://arctos.database.museum/guid/MSB:Host:765
MSB:Mamm:350451,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74490002,-105.450157,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350451
MSB:Mamm:350455,Callospermophilus lateralis,MSB:Mamm,Mammal,1,1,36.74417499,-105.45152,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350455
