parasite_guid,parasite_name,parasite_genus,parasite_species,date,year,host_guid,host_taxon,host_collection,host_group,host_sex,host_age,location_in_host,parasite_life_stage,parasite_sex,individual_count,experimental,parasite_url,host_url,latitude,longitude,mappable
MSB:Para:15783,Taenia,Taenia,,9 Dec '57,,UAM:Mamm:12270,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15783,https://arctos.database.museum/guid/UAM:Mamm:12270,63.681996,-170.482323,True
MSB:Para:15784,Toxascaris,Toxascaris,,9 Dec '57,,UAM:Mamm:12270,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15784,https://arctos.database.museum/guid/UAM:Mamm:12270,63.681996,-170.482323,True
MSB:Para:15785,Uncinaria,Uncinaria,,9 Dec '57,,UAM:Mamm:12270,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15785,https://arctos.database.museum/guid/UAM:Mamm:12270,63.681996,-170.482323,True
MSB:Para:15786,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,8 Dec '57,,UAM:Mamm:12271,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15786,https://arctos.database.museum/guid/UAM:Mamm:12271,63.681996,-170.482323,True
MSB:Para:15787,Taenia,Taenia,,8 Dec '57,,UAM:Mamm:12271,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15787,https://arctos.database.museum/guid/UAM:Mamm:12271,63.681996,-170.482323,True
MSB:Para:15788,Toxascaris,Toxascaris,,8 Dec '57,,UAM:Mamm:12271,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15788,https://arctos.database.museum/guid/UAM:Mamm:12271,63.681996,-170.482323,True
MSB:Para:15789,Echinococcus multilocularis,Echinococcus,Echinococcus multilocularis,2 Feb '59,,UAM:Mamm:12313,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15789,https://arctos.database.museum/guid/UAM:Mamm:12313,63.77972,-171.74111,True
MSB:Para:1579,Cestoda,,,Aug 27 '55,,MSB:Host:10582,Glaucous-winged Gull (L. hyperboreas),MSB:Host,Host collection,male,,small intestine,,,,,https://arctos.database.museum/guid/MSB:Para:1579,https://arctos.database.museum/guid/MSB:Host:10582,,,False
MSB:Para:15790,Toxascaris,Toxascaris,,2 Feb '59,,UAM:Mamm:12313,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15790,https://arctos.database.museum/guid/UAM:Mamm:12313,63.77972,-171.74111,True
MSB:Para:15791,Taenia,Taenia,,1 March '59,,UAM:Mamm:12314,Alopex,UAM:Mamm,Mammal,female,,,,,,,https://arctos.database.museum/guid/MSB:Para:15791,https://arctos.database.museum/guid/UAM:Mamm:12314,63.775,-171.693056,True
