host_guid,host_species,host_genus,part_name,part_id,part_remark,preservation,condition,part_count,parsed_flea_count,parsed_mite_count,parsed_tick_count,parsed_louse_count,parsed_nematode_count,parsed_cestode_count,parsed_trematode_count
KSB:Mamm:5275,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5275/PID33702648,,,unknown,1,,,,,,,
KSB:Mamm:5276,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5276/PID33702649,,,unknown,1,,,,,,,
KSB:Mamm:5277,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5277/PID33702653,,,unknown,1,,,,,,,
KSB:Mamm:5278,Blarina brevicauda,Blarina,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5278/PID33702650,,,unknown,1,,,,,,,
KSB:Mamm:5285,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5285/PID33702652,,,unknown,1,,,,,,,
KSB:Mamm:5286,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5286/PID33702651,,,unknown,1,,,,,,,
KSB:Mamm:5300,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5300/PID33702671,,,unknown,1,,,,,,,
KSB:Mamm:5301,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5301/PID33702670,,,unknown,1,,,,,,,
KSB:Mamm:5302,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5302/PID33702669,,,unknown,1,,,,,,,
KSB:Mamm:5303,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5303/PID33702659,,,unknown,1,,,,,,,
KSB:Mamm:5304,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5304/PID33702662,,,unknown,1,,,,,,,
KSB:Mamm:5312,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5312/PID33702661,,,unknown,1,,,,,,,
KSB:Mamm:5313,Sorex hoyi,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5313/PID33702666,,,unknown,1,,,,,,,
KSB:Mamm:5314,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5314/PID33702660,,,unknown,1,,,,,,,
KSB:Mamm:5315,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5315/PID33702663,,,unknown,1,,,,,,,
KSB:Mamm:5316,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5316/PID33702664,,,unknown,1,,,,,,,
KSB:Mamm:5319,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5319/PID33702667,,,unknown,1,,,,,,,
KSB:Mamm:5320,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5320/PID33702665,,,unknown,1,,,,,,,
KSB:Mamm:5321,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5321/PID33702668,,,unknown,1,,,,,,,
KSB:Mamm:5331,Sorex arcticus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5331/PID33702658,,,unknown,1,,,,,,,
KSB:Mamm:5332,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5332/PID33702694,,,unknown,1,,,,,,,
KSB:Mamm:5377,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5377/PID33702673,,,unknown,1,,,,,,,
KSB:Mamm:5378,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5378/PID33702674,,,unknown,1,,,,,,,
KSB:Mamm:5379,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5379/PID33702675,,,unknown,1,,,,,,,
KSB:Mamm:5380,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5380/PID33702676,,,unknown,1,,,,,,,
KSB:Mamm:5381,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5381/PID33702677,,,unknown,1,,,,,,,
KSB:Mamm:5382,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5382/PID33702679,,,unknown,1,,,,,,,
KSB:Mamm:5383,Sorex cinereus,Sorex,endoparasite,https://arctos.database.museum/guid/KSB:Mamm:5383/PID33702678,,,unknown,1,,,,,,,
