guid,species,genus,sex,life_stage,date,locality,latitude,longitude,mappable,parasite_status,detected,not_detected,parasite_parts_present,parasite_summary,flea_count,mite_count,tick_count,louse_count,nematode_count,cestode_count,trematode_count,arctos_url
KSB:Mamm:1598,Canis latrans,Canis,female,adult,26 Feb. 2023,"USA, MO; Barton County",37.492,-94.384,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1598
KSB:Mamm:1599,Canis latrans,Canis,male,adult,24 Feb. 2023,"USA, MO; Howard County",39.139,-92.683,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1599
KSB:Mamm:1600,Canis latrans,Canis,female,adult,26 Feb. 2023,"USA, MO; Lawrence County",37.102,-93.818,True,detected,ectoparasite: tick; endoparasite,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1600
KSB:Mamm:1601,Canis latrans,Canis,male,adult,10 Feb. 2023,"USA, KS; Thomas County",39.402963,-101.054952,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1601
KSB:Mamm:1602,Canis latrans,Canis,female,adult,15 Jan. 2023,"USA, KS; Osage County",38.636,-95.763,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1602
KSB:Mamm:1603,Canis latrans,Canis,male,adult,29 Dec. 2022,"USA, KS; Jefferson County",39.35417,-95.58474,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1603
KSB:Mamm:1604,Canis latrans,Canis,male,adult,29 Jan. 2023,"USA, KS; Rush County",38.515,-99.312,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1604
KSB:Mamm:1605,Canis latrans,Canis,female,adult,29 Jan. 2023,"USA, KS; Gray County",37.715,-100.463,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1605
KSB:Mamm:1606,Canis latrans,Canis,male,adult,4 Feb. 2023,"USA, MO; Putnam County",40.469,-93.003,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1606
KSB:Mamm:1607,Canis latrans,Canis,male,adult,29 Jan. 2023,"USA, KS; Rush County",38.515,-99.312,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1607
KSB:Mamm:1608,Canis latrans,Canis,male,adult,26 Feb. 2023,"USA, KS; Leavenworth",39.212,-95.044,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1608
KSB:Mamm:1609,Canis latrans,Canis,male,adult,29 Jan. 2023,"USA, KS; Rush County",38.515,-99.312,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1609
KSB:Mamm:1610,Canis latrans,Canis,male,adult,26 Feb. 2023,"USA, MO; Camden County",38.013,-92.74,True,mixed screening,ectoparasite: tick,endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1610
KSB:Mamm:1611,Canis latrans,Canis,male,adult,19 Dec. 2021,"USA, MO; Boonville",38.88433,-92.842482,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1611
KSB:Mamm:1612,Canis latrans,Canis,female,adult,28 Jan. 2023,"USA, KS; Neosho County",37.539,-95.313,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1612
KSB:Mamm:1613,Peromyscus leucopus,Peromyscus,female,adult,2024-05-28,"USA, KS; KPBS, 20C",39.07362,-96.56232,True,mixed screening,ectoparasite: tick,endoparasite,ectoparasite,ectoparasite: 1 tick,,,1.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1613
KSB:Mamm:1614,Peromyscus maniculatus,Peromyscus,male,adult,2024-05-28,"USA, KS; KPBS; WA",39.07224,-96.57535,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1614
KSB:Mamm:1615,Peromyscus leucopus,Peromyscus,male,adult,2024-05-28,"USA, KS; KPBS, 20B",39.07288,-96.57592,True,detected,ectoparasite: flea; ectoparasite: tick,,ectoparasite,"ectoparasite: 1 flea, 3 ticks",1.0,,3.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1615
KSB:Mamm:1616,Neotoma floridana,Neotoma,female,adult,2024-05-28,"USA, KS; KPBS; 20B",39.07307,-96.57648,True,detected,ectoparasite: flea; ectoparasite: tick; endoparasite,,ectoparasite; endoparasite,"ectoparasite: 1 tick, 5 fleas; endoparasite: 4 cestodes in small intestine",5.0,,1.0,,,4.0,,https://arctos.database.museum/guid/KSB:Mamm:1616
KSB:Mamm:1617,Peromyscus leucopus,Peromyscus,male,adult,2024-05-28,"USA, KS; KPBS; 20B",39.07304,-96.57628,True,mixed screening,ectoparasite: flea; ectoparasite: tick,endoparasite,ectoparasite,"ectoparasite: 2 ticks, 1 flea",1.0,,2.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1617
KSB:Mamm:1618,Peromyscus leucopus,Peromyscus,male,adult,2024-05-28,"USA, KS; KPBS; 1D",39.0743,-96.56273,True,mixed screening,ectoparasite: tick,endoparasite,ectoparasite,ectoparasite: 2 ticks,,,2.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1618
KSB:Mamm:1619,Peromyscus leucopus,Peromyscus,male,adult,2024-05-28,"USA, KS; KPBS; WA",39.07209,-96.57523,True,mixed screening,ectoparasite: tick,endoparasite,ectoparasite,ectoparasite: 1 tick,,,1.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1619
KSB:Mamm:1620,Canis latrans,Canis,female,adult,28 Jan. 2023,"USA, KS; Neosho County",37.539,-95.313,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1620
KSB:Mamm:1621,Canis latrans,Canis,male,adult,4 Feb. 2024,"USA, IL; Rock Island",41.489,-90.514,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1621
KSB:Mamm:1622,Canis latrans,Canis,female,adult,28 Jan. 2023,"USA, KS; Neosho County",37.539,-95.313,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1622
KSB:Mamm:1623,Canis latrans,Canis,female,adult,12 Mar. 2023,"USA, IN; Howard County, Kokomo",40.4846,-86.1338,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1623
KSB:Mamm:1624,Canis latrans,Canis,female,adult,4 Feb. 2023,"USA, MO; Mercer and Grundy County",40.263,-93.527,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1624
KSB:Mamm:1625,Canis latrans,Canis,male,adult,12 Mar. 2023,"USA, IN; Howard County, Kokomo",40.4846,-86.1338,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1625
KSB:Mamm:1626,Canis latrans,Canis,female,adult,28 Jan. 2023,"USA, KS; Neosho County",37.539,-95.313,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1626
KSB:Mamm:1627,Canis latrans,Canis,female,adult,26 Feb. 2023,"USA, MO; Cass County",38.641,-94.349,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1627
KSB:Mamm:1628,Bison bison,Bison,male,adult,8 Feb 2023,"USA, KS; Riley County; Konza Prairie Biological Station",39.08312,-96.53292,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1628
KSB:Mamm:1629,Castor canadensis,Castor,unknown,adult,Jan 2019,"USA, KS; Pottawatomie County; Along Kansas River",39.38401,-96.332437,True,not recorded,,,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1629
KSB:Mamm:1630,Canis latrans,Canis,female,adult,29 Dec. 2022,"USA, MO; Howard County",39.139,-92.683,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1630
KSB:Mamm:1631,Canis latrans,Canis,male,adult,27 Dec. 2022,"USA, KS; Morris County",38.808954,-96.501286,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1631
KSB:Mamm:1632,Canis latrans,Canis,female,adult,15 Jan. 2023,"USA, KS; Osage County",38.636,-95.763,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1632
KSB:Mamm:1633,Canis latrans,Canis,female,adult,22 Jan. 2024,"USA, IL; Macoupin and Fayette County",38.995,-89.571,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1633
KSB:Mamm:1634,Canis latrans,Canis,female,adult,5 Jan. 2023,"USA, KS; Jefferson County",39.35417,-95.58474,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1634
KSB:Mamm:1635,Canis latrans,Canis,female,adult,4 Feb. 2024,"USA, IL; Rock Island",41.489,-90.514,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1635
KSB:Mamm:1636,Canis latrans,Canis,female,adult,29 Jan. 2023,"USA, KS; Rush County",38.515,-99.312,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1636
KSB:Mamm:1637,Canis latrans,Canis,female,adult,24 Feb. 2023,"USA, MO; Cole County",38.473,-92.355,True,mixed screening,endoparasite,ectoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1637
KSB:Mamm:1638,Canis latrans,Canis,male,adult,4 Feb. 2024,"USA, IL; Knox, Henry and Rock Island County",41.25,-90.445,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1638
KSB:Mamm:1639,Peromyscus leucopus,Peromyscus,female,adult,2024-05-28,"USA, KS; KPBS; 20C",39.07332,-96.56245,True,mixed screening,ectoparasite: tick,ectoparasite: louse,ectoparasite,ectoparasite: 1 tick,,,1.0,,,,,https://arctos.database.museum/guid/KSB:Mamm:1639
KSB:Mamm:1640,Neotoma floridana,Neotoma,female,adult,2024-05-28,"USA, KS; KPBS; 20C",39.07362,-96.56232,True,mixed screening,ectoparasite: flea,endoparasite,ectoparasite,ectoparasite: 5 fleas,5.0,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1640
KSB:Mamm:1641,Canis latrans,Canis,male,adult,22 Jan. 2024,"USA, IL; Macoupin and Fayette County",38.995,-89.571,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1641
KSB:Mamm:1642,Canis latrans,Canis,female,adult,4 Feb. 2024,"USA, IL; Henry County",41.346,-90.108,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1642
KSB:Mamm:1643,Canis latrans,Canis,female,adult,22 Jan. 2024,"USA, IL; Macoupin and Fayette County",38.995,-89.571,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1643
KSB:Mamm:1644,Canis latrans,Canis,male,adult,22 Jan. 2024,"USA, IL; Macoupin and Fayette County",38.995,-89.571,True,not detected,,ectoparasite; endoparasite,,,,,,,,,,https://arctos.database.museum/guid/KSB:Mamm:1644
